Commune	PTOT	REG	DEP	Région	latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
Razac-sur-l'Isle	2417.0	75.0	24	Nouvelle-Aquitaine	45.1605883444	0.615843501221	24350.0	Bibliothèque	1	vivant
Ribagnac	326.0	75.0	24	Nouvelle-Aquitaine	44.7574541307	0.485586188502	24351.0	Monument	1	patrimoine
Ribérac	3980.0	75.0	24	Nouvelle-Aquitaine	45.2457883325	0.334782848632	24352.0	Bibliothèque	1	vivant
Ribérac	3980.0	75.0	24	Nouvelle-Aquitaine	45.2457883325	0.334782848632	24352.0	Cinéma	1	vivant
Ribérac	3980.0	75.0	24	Nouvelle-Aquitaine	45.2457883325	0.334782848632	24352.0	Espace protégé	1	patrimoine
Ribérac	3980.0	75.0	24	Nouvelle-Aquitaine	45.2457883325	0.334782848632	24352.0	Monument	3	patrimoine
La Rochebeaucourt-et-Argentine	340.0	75.0	24	Nouvelle-Aquitaine	45.4660887787	0.382652455353	24353.0	Monument	2	patrimoine
La Roche-Chalais	3069.0	75.0	24	Nouvelle-Aquitaine	45.1355934306	0.0550563261049	24354.0	Bibliothèque	1	vivant
La Roche-Chalais	3069.0	75.0	24	Nouvelle-Aquitaine	45.1355934306	0.0550563261049	24354.0	Cinéma	1	vivant
La Roche-Chalais	3069.0	75.0	24	Nouvelle-Aquitaine	45.1355934306	0.0550563261049	24354.0	Monument	1	patrimoine
La Roque-Gageac	433.0	75.0	24	Nouvelle-Aquitaine	44.8177613658	1.19861057115	24355.0	Espace protégé	1	patrimoine
La Roque-Gageac	433.0	75.0	24	Nouvelle-Aquitaine	44.8177613658	1.19861057115	24355.0	Monument	1	patrimoine
Rouffignac-Saint-Cernin-de-Reilhac	1673.0	75.0	24	Nouvelle-Aquitaine	45.0511195053	0.96628484329	24356.0	Bibliothèque	1	vivant
Rouffignac-Saint-Cernin-de-Reilhac	1673.0	75.0	24	Nouvelle-Aquitaine	45.0511195053	0.96628484329	24356.0	Espace protégé	1	patrimoine
Rouffignac-Saint-Cernin-de-Reilhac	1673.0	75.0	24	Nouvelle-Aquitaine	45.0511195053	0.96628484329	24356.0	Lieu archéologique	1	patrimoine
Rouffignac-Saint-Cernin-de-Reilhac	1673.0	75.0	24	Nouvelle-Aquitaine	45.0511195053	0.96628484329	24356.0	Monument	4	patrimoine
Sadillac	111.0	75.0	24	Nouvelle-Aquitaine	44.729700474	0.490342737888	24359.0	Monument	1	patrimoine
Val de Louyre et Caudeau	1610.0	75.0	24	Nouvelle-Aquitaine	44.9471700299	0.810464512122	24362.0	Bibliothèque	2	vivant
Val de Louyre et Caudeau	1610.0	75.0	24	Nouvelle-Aquitaine	44.9471700299	0.810464512122	24362.0	Espace protégé	1	patrimoine
Val de Louyre et Caudeau	1610.0	75.0	24	Nouvelle-Aquitaine	44.9471700299	0.810464512122	24362.0	Monument	6	patrimoine
Coly-Saint-Amand	624.0	75.0	24	Nouvelle-Aquitaine	45.0521923341	1.24653200545	24364.0	Bibliothèque	2	vivant
Coly-Saint-Amand	624.0	75.0	24	Nouvelle-Aquitaine	45.0521923341	1.24653200545	24364.0	Monument	2	patrimoine
Saint-André-d'Allas	896.0	75.0	24	Nouvelle-Aquitaine	44.8912301574	1.1476803246	24366.0	Bibliothèque	1	vivant
Saint-André-d'Allas	896.0	75.0	24	Nouvelle-Aquitaine	44.8912301574	1.1476803246	24366.0	Monument	6	patrimoine
Saint-André-de-Double	177.0	75.0	24	Nouvelle-Aquitaine	45.1409249857	0.325384566649	24367.0	Bibliothèque	1	vivant
Saint-André-de-Double	177.0	75.0	24	Nouvelle-Aquitaine	45.1409249857	0.325384566649	24367.0	Monument	1	patrimoine
Saint-Aquilin	472.0	75.0	24	Nouvelle-Aquitaine	45.1911088395	0.488721317785	24371.0	Monument	2	patrimoine
Saint-Astier	5416.0	75.0	24	Nouvelle-Aquitaine	45.1484357281	0.519678090961	24372.0	Bibliothèque	1	vivant
Saint-Astier	5416.0	75.0	24	Nouvelle-Aquitaine	45.1484357281	0.519678090961	24372.0	Cinéma	1	vivant
Saint-Astier	5416.0	75.0	24	Nouvelle-Aquitaine	45.1484357281	0.519678090961	24372.0	Espace protégé	1	patrimoine
Saint-Astier	5416.0	75.0	24	Nouvelle-Aquitaine	45.1484357281	0.519678090961	24372.0	Monument	8	patrimoine
Saint-Aubin-de-Lanquais	360.0	75.0	24	Nouvelle-Aquitaine	44.7969706456	0.602118050756	24374.0	Bibliothèque	1	vivant
Saint-Aubin-de-Nabirat	158.0	75.0	24	Nouvelle-Aquitaine	44.731908542	1.28437608808	24375.0	Monument	1	patrimoine
Saint Aulaye-Puymangou	1433.0	75.0	24	Nouvelle-Aquitaine	45.1823303924	0.136303399419	24376.0	Bibliothèque	1	vivant
Saint Aulaye-Puymangou	1433.0	75.0	24	Nouvelle-Aquitaine	45.1823303924	0.136303399419	24376.0	Cinéma	1	vivant
Saint Aulaye-Puymangou	1433.0	75.0	24	Nouvelle-Aquitaine	45.1823303924	0.136303399419	24376.0	Monument	1	patrimoine
Saint-Avit-Rivière	85.0	75.0	24	Nouvelle-Aquitaine	44.7401593829	0.906593699917	24378.0	Monument	1	patrimoine
Saint-Avit-Sénieur	413.0	75.0	24	Nouvelle-Aquitaine	44.7750925645	0.824289637501	24379.0	Lieu archéologique	1	patrimoine
Saint-Avit-Sénieur	413.0	75.0	24	Nouvelle-Aquitaine	44.7750925645	0.824289637501	24379.0	Monument	2	patrimoine
Saint-Avit-Sénieur	413.0	75.0	24	Nouvelle-Aquitaine	44.7750925645	0.824289637501	24379.0	Musée	1	vivant
Saint-Barthélemy-de-Bussière	216.0	75.0	24	Nouvelle-Aquitaine	45.6415499133	0.747042269307	24381.0	Bibliothèque	1	vivant
Saint-Capraise-de-Lalinde	533.0	75.0	24	Nouvelle-Aquitaine	44.8463175043	0.655294285249	24382.0	Bibliothèque	1	vivant
Saint-Capraise-de-Lalinde	533.0	75.0	24	Nouvelle-Aquitaine	44.8463175043	0.655294285249	24382.0	Espace protégé	1	patrimoine
Saint-Capraise-de-Lalinde	533.0	75.0	24	Nouvelle-Aquitaine	44.8463175043	0.655294285249	24382.0	Monument	3	patrimoine
Saint-Capraise-d'Eymet	168.0	75.0	24	Nouvelle-Aquitaine	44.711179433	0.51051059596	24383.0	Monument	1	patrimoine
Saint-Cernin-de-l'Herm	210.0	75.0	24	Nouvelle-Aquitaine	44.6540649921	1.04585610677	24386.0	Monument	1	patrimoine
Saint-Chamassy	508.0	75.0	24	Nouvelle-Aquitaine	44.8725532878	0.921257476514	24388.0	Bibliothèque	1	vivant
Saint-Chamassy	508.0	75.0	24	Nouvelle-Aquitaine	44.8725532878	0.921257476514	24388.0	Monument	2	patrimoine
Saint-Crépin-d'Auberoche	341.0	75.0	24	Nouvelle-Aquitaine	45.1177639491	0.895951381831	24390.0	Bibliothèque	1	vivant
Saint-Crépin-et-Carlucet	536.0	75.0	24	Nouvelle-Aquitaine	44.9565947973	1.27615948362	24392.0	Monument	4	patrimoine
Sainte-Croix	87.0	75.0	24	Nouvelle-Aquitaine	44.7327105467	0.828547816645	24393.0	Monument	3	patrimoine
Saint-Cybranet	369.0	75.0	24	Nouvelle-Aquitaine	44.7804732346	1.1587393695	24395.0	Parc et jardin	1	patrimoine
Saint-Cyprien	1581.0	75.0	24	Nouvelle-Aquitaine	44.8825740011	1.02538984639	24396.0	Bibliothèque	1	vivant
Saint-Cyprien	1581.0	75.0	24	Nouvelle-Aquitaine	44.8825740011	1.02538984639	24396.0	Espace protégé	1	patrimoine
Saint-Cyprien	1581.0	75.0	24	Nouvelle-Aquitaine	44.8825740011	1.02538984639	24396.0	Monument	4	patrimoine
Saint-Cyr-les-Champagnes	287.0	75.0	24	Nouvelle-Aquitaine	45.3724597502	1.29106108817	24397.0	Monument	1	patrimoine
Saint-Estèphe	596.0	75.0	24	Nouvelle-Aquitaine	45.609832852	0.657993310994	24398.0	Bibliothèque	1	vivant
Saint-Estèphe	596.0	75.0	24	Nouvelle-Aquitaine	45.609832852	0.657993310994	24398.0	Monument	1	patrimoine
Saint-Félix-de-Reillac-et-Mortemart	178.0	75.0	24	Nouvelle-Aquitaine	45.0147855996	0.89152600187	24404.0	Monument	1	patrimoine
Sainte-Foy-de-Belvès	142.0	75.0	24	Nouvelle-Aquitaine	44.731269814	1.03294229921	24406.0	Monument	1	patrimoine
Sainte-Foy-de-Longas	249.0	75.0	24	Nouvelle-Aquitaine	44.9286563489	0.755646260789	24407.0	Monument	1	patrimoine
Saint-Front-d'Alemps	258.0	75.0	24	Nouvelle-Aquitaine	45.324593189	0.78971362781	24408.0	Bibliothèque	1	vivant
Saint-Front-de-Pradoux	1194.0	75.0	24	Nouvelle-Aquitaine	45.0595554075	0.360152317983	24409.0	Monument	1	patrimoine
Saint-Front-la-Rivière	505.0	75.0	24	Nouvelle-Aquitaine	45.4652036046	0.719685871549	24410.0	Bibliothèque	1	vivant
Saint-Front-la-Rivière	505.0	75.0	24	Nouvelle-Aquitaine	45.4652036046	0.719685871549	24410.0	Monument	3	patrimoine
Saint-Front-sur-Nizonne	167.0	75.0	24	Nouvelle-Aquitaine	45.477464175	0.627327027878	24411.0	Monument	2	patrimoine
Saint-Geniès	930.0	75.0	24	Nouvelle-Aquitaine	44.9950404568	1.24436332323	24412.0	Bibliothèque	1	vivant
Saint-Geniès	930.0	75.0	24	Nouvelle-Aquitaine	44.9950404568	1.24436332323	24412.0	Monument	4	patrimoine
Saint-Georges-de-Montclard	281.0	75.0	24	Nouvelle-Aquitaine	44.9331773121	0.610874864188	24414.0	Bibliothèque	1	vivant
Saint-Georges-de-Montclard	281.0	75.0	24	Nouvelle-Aquitaine	44.9331773121	0.610874864188	24414.0	Monument	2	patrimoine
Saint-Germain-du-Salembre	938.0	75.0	24	Nouvelle-Aquitaine	45.127972537	0.437779642589	24418.0	Monument	1	patrimoine
Saint-Germain-et-Mons	895.0	75.0	24	Nouvelle-Aquitaine	44.8286582128	0.591211611663	24419.0	Bibliothèque	1	vivant
Saint-Geyrac	198.0	75.0	24	Nouvelle-Aquitaine	45.0745744027	0.907034401577	24421.0	Bibliothèque	1	vivant
Saint-Geyrac	198.0	75.0	24	Nouvelle-Aquitaine	45.0745744027	0.907034401577	24421.0	Monument	1	patrimoine
Saint-Hilaire-d'Estissac	124.0	75.0	24	Nouvelle-Aquitaine	45.014476321	0.505394906557	24422.0	Monument	1	patrimoine
Saint-Julien-Innocence-Eulalie	313.0	75.0	24	Nouvelle-Aquitaine	44.7249335654	0.394228419824	24423.0	Monument	1	patrimoine
Saint-Jean-de-Côle	372.0	75.0	24	Nouvelle-Aquitaine	45.4135771577	0.83539033285	24425.0	Bibliothèque	1	vivant
Saint-Jean-de-Côle	372.0	75.0	24	Nouvelle-Aquitaine	45.4135771577	0.83539033285	24425.0	Monument	4	patrimoine
Saint-Jean-d'Estissac	166.0	75.0	24	Nouvelle-Aquitaine	45.0375932892	0.504834756989	24426.0	Monument	1	patrimoine
Saint-Jory-de-Chalais	599.0	75.0	24	Nouvelle-Aquitaine	45.4894020576	0.897020061184	24428.0	Bibliothèque	1	vivant
Saint-Jory-las-Bloux	246.0	75.0	24	Nouvelle-Aquitaine	45.3421390696	0.9470147152	24429.0	Bibliothèque	1	vivant
Saint-Jory-las-Bloux	246.0	75.0	24	Nouvelle-Aquitaine	45.3421390696	0.9470147152	24429.0	Monument	1	patrimoine
Saint-Julien-de-Lampon	665.0	75.0	24	Nouvelle-Aquitaine	44.8619888633	1.38181461735	24432.0	Bibliothèque	1	vivant
Saint-Julien-de-Lampon	665.0	75.0	24	Nouvelle-Aquitaine	44.8619888633	1.38181461735	24432.0	Monument	1	patrimoine
Saint-Just	150.0	75.0	24	Nouvelle-Aquitaine	45.335415501	0.498491614935	24434.0	Monument	2	patrimoine
Saint-Laurent-des-Hommes	1051.0	75.0	24	Nouvelle-Aquitaine	45.0440019083	0.253242646867	24436.0	Bibliothèque	1	vivant
Saint-Laurent-des-Hommes	1051.0	75.0	24	Nouvelle-Aquitaine	45.0440019083	0.253242646867	24436.0	Monument	2	patrimoine
Saint-Laurent-des-Vignes	1017.0	75.0	24	Nouvelle-Aquitaine	44.823708986	0.445904004567	24437.0	Bibliothèque	1	vivant
Saint-Laurent-la-Vallée	243.0	75.0	24	Nouvelle-Aquitaine	44.7515526653	1.11564221671	24438.0	Bibliothèque	1	vivant
Saint-Laurent-la-Vallée	243.0	75.0	24	Nouvelle-Aquitaine	44.7515526653	1.11564221671	24438.0	Monument	1	patrimoine
Saint-Léon-sur-l'Isle	2079.0	75.0	24	Nouvelle-Aquitaine	45.1169557791	0.49957697448	24442.0	Bibliothèque	1	vivant
Saint-Léon-sur-Vézère	439.0	75.0	24	Nouvelle-Aquitaine	45.0180206005	1.08035107771	24443.0	Bibliothèque	1	vivant
Saint-Léon-sur-Vézère	439.0	75.0	24	Nouvelle-Aquitaine	45.0180206005	1.08035107771	24443.0	Lieu archéologique	1	patrimoine
Saint-Léon-sur-Vézère	439.0	75.0	24	Nouvelle-Aquitaine	45.0180206005	1.08035107771	24443.0	Monument	8	patrimoine
Saint-Marcory	52.0	75.0	24	Nouvelle-Aquitaine	44.7229809189	0.927966166506	24446.0	Monument	1	patrimoine
Saint-Martial-de-Valette	819.0	75.0	24	Nouvelle-Aquitaine	45.5124949186	0.633563294913	24451.0	Bibliothèque	1	vivant
Saint-Martial-de-Valette	819.0	75.0	24	Nouvelle-Aquitaine	45.5124949186	0.633563294913	24451.0	Monument	1	patrimoine
Saint-Martial-Viveyrol	188.0	75.0	24	Nouvelle-Aquitaine	45.3606582227	0.336407219846	24452.0	Monument	1	patrimoine
Saint-Martin-de-Fressengeas	369.0	75.0	24	Nouvelle-Aquitaine	45.4533715908	0.841754032741	24453.0	Bibliothèque	1	vivant
Saint-Martin-de-Fressengeas	369.0	75.0	24	Nouvelle-Aquitaine	45.4533715908	0.841754032741	24453.0	Monument	1	patrimoine
Saint-Martin-de-Gurson	651.0	75.0	24	Nouvelle-Aquitaine	44.9613529177	0.116208017065	24454.0	Monument	1	patrimoine
Saint-Martin-des-Combes	203.0	75.0	24	Nouvelle-Aquitaine	44.9646004591	0.620912139417	24456.0	Monument	1	patrimoine
Saint-Martin-l'Astier	142.0	75.0	24	Nouvelle-Aquitaine	45.0589553311	0.323281642748	24457.0	Monument	1	patrimoine
Saint-Martin-le-Pin	273.0	75.0	24	Nouvelle-Aquitaine	45.552556707	0.625868911507	24458.0	Monument	1	patrimoine
Saint-Méard-de-Drône	500.0	75.0	24	Nouvelle-Aquitaine	45.2508643912	0.40995292242	24460.0	Bibliothèque	1	vivant
Saint-Méard-de-Drône	500.0	75.0	24	Nouvelle-Aquitaine	45.2508643912	0.40995292242	24460.0	Monument	1	patrimoine
Saint-Méard-de-Gurçon	819.0	75.0	24	Nouvelle-Aquitaine	44.9112714239	0.177925010262	24461.0	Monument	1	patrimoine
Saint-Médard-de-Mussidan	1681.0	75.0	24	Nouvelle-Aquitaine	45.0220026441	0.331868096414	24462.0	Monument	1	patrimoine
Saint-Médard-d'Excideuil	554.0	75.0	24	Nouvelle-Aquitaine	45.3470023438	1.0861340351	24463.0	Monument	1	patrimoine
Saint-Médard-d'Excideuil	554.0	75.0	24	Nouvelle-Aquitaine	45.3470023438	1.0861340351	24463.0	Parc et jardin	1	patrimoine
Saint-Michel-de-Montaigne	327.0	75.0	24	Nouvelle-Aquitaine	44.8790451767	0.0249387583377	24466.0	Lieu de mémoire	1	patrimoine
Saint-Michel-de-Montaigne	327.0	75.0	24	Nouvelle-Aquitaine	44.8790451767	0.0249387583377	24466.0	Monument	2	patrimoine
Sainte-Mondane	294.0	75.0	24	Nouvelle-Aquitaine	44.8354016232	1.34672272166	24470.0	Lieu de mémoire	1	patrimoine
Sainte-Mondane	294.0	75.0	24	Nouvelle-Aquitaine	44.8354016232	1.34672272166	24470.0	Monument	2	patrimoine
Sainte-Nathalène	652.0	75.0	24	Nouvelle-Aquitaine	44.9135267404	1.28096434427	24471.0	Bibliothèque	1	vivant
Sainte-Nathalène	652.0	75.0	24	Nouvelle-Aquitaine	44.9135267404	1.28096434427	24471.0	Monument	1	patrimoine
Saint-Nexans	1010.0	75.0	24	Nouvelle-Aquitaine	44.8061899952	0.550308411387	24472.0	Monument	1	patrimoine
Sainte-Orse	356.0	75.0	24	Nouvelle-Aquitaine	45.2054528162	1.07317374722	24473.0	Monument	1	patrimoine
Saint-Pardoux-et-Vielvic	189.0	75.0	24	Nouvelle-Aquitaine	44.7703624875	0.96095833872	24478.0	Monument	2	patrimoine
Saint-Pardoux-la-Rivière	1188.0	75.0	24	Nouvelle-Aquitaine	45.5030521403	0.748077099274	24479.0	Bibliothèque	1	vivant
Saint-Pardoux-la-Rivière	1188.0	75.0	24	Nouvelle-Aquitaine	45.5030521403	0.748077099274	24479.0	Monument	2	patrimoine
Saint-Paul-la-Roche	526.0	75.0	24	Nouvelle-Aquitaine	45.4833291569	0.989443506607	24481.0	Bibliothèque	1	vivant
Saint-Paul-Lizonne	281.0	75.0	24	Nouvelle-Aquitaine	45.3169310321	0.283269437916	24482.0	Monument	1	patrimoine
Saint-Pierre-de-Chignac	926.0	75.0	24	Nouvelle-Aquitaine	45.110891602	0.863217911356	24484.0	Monument	2	patrimoine
Saint-Pierre-de-Côle	431.0	75.0	24	Nouvelle-Aquitaine	45.3807175566	0.807692228631	24485.0	Monument	3	patrimoine
Saint-Pierre-de-Frugie	449.0	75.0	24	Nouvelle-Aquitaine	45.5841655969	1.00632128921	24486.0	Bibliothèque	1	vivant
Saint-Pierre-de-Frugie	449.0	75.0	24	Nouvelle-Aquitaine	45.5841655969	1.00632128921	24486.0	Monument	2	patrimoine
Saint-Pierre-d'Eyraud	1826.0	75.0	24	Nouvelle-Aquitaine	44.8735238216	0.322188451159	24487.0	Bibliothèque	1	vivant
Saint-Pompont	354.0	75.0	24	Nouvelle-Aquitaine	44.7148110231	1.13582118282	24488.0	Bibliothèque	1	vivant
Saint-Pompont	354.0	75.0	24	Nouvelle-Aquitaine	44.7148110231	1.13582118282	24488.0	Monument	5	patrimoine
Saint-Priest-les-Fougères	378.0	75.0	24	Nouvelle-Aquitaine	45.5411692729	1.02433031105	24489.0	Bibliothèque	1	vivant
Saint Privat en Périgord	1135.0	75.0	24	Nouvelle-Aquitaine	45.2186240618	0.192239513618	24490.0	Bibliothèque	3	vivant
Saint Privat en Périgord	1135.0	75.0	24	Nouvelle-Aquitaine	45.2186240618	0.192239513618	24490.0	Monument	4	patrimoine
