latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
44.2679981187	2.92575800141	12294	Bibliothèque	1	vivant
44.2679981187	2.92575800141	12294	Monument	2	patrimoine
43.9592074418	3.06767634768	12295	Monument	1	patrimoine
44.0855039631	2.83906955497	12296	Bibliothèque	1	vivant
44.0855039631	2.83906955497	12296	Monument	2	patrimoine
44.3214095463	2.74143536761	12297	Monument	1	patrimoine
44.5432878165	2.57548637915	12298	Bibliothèque	1	vivant
44.5432878165	2.57548637915	12298	Monument	2	patrimoine
44.0971941681	2.71527258024	12299	Bibliothèque	1	vivant
44.3499160171	2.03103287572	12300	Bibliothèque	2	vivant
44.3499160171	2.03103287572	12300	Cinéma	1	vivant
44.3499160171	2.03103287572	12300	Espace protégé	1	patrimoine
44.3499160171	2.03103287572	12300	Librairie	1	vivant
44.3499160171	2.03103287572	12300	Lieu archéologique	1	patrimoine
44.3499160171	2.03103287572	12300	Monument	29	patrimoine
44.3499160171	2.03103287572	12300	Musée	1	vivant
44.3499160171	2.03103287572	12300	Service d'archives	1	patrimoine
44.4470516334	2.0285315392	12301	Bibliothèque	1	vivant
44.4470516334	2.0285315392	12301	Espace protégé	1	patrimoine
44.4470516334	2.0285315392	12301	Monument	9	patrimoine
44.4000547322	2.92952468147	12303	Bibliothèque	1	vivant
44.5563780482	2.22049316685	12305	Bibliothèque	1	vivant
44.1978533166	2.85380503746	12307	Cinéma	1	vivant
43.5360708378	5.39857444582	13001	Bibliothèque	6	vivant
43.5360708378	5.39857444582	13001	Centre d'art	1	vivant
43.5360708378	5.39857444582	13001	Centre de création artistique	1	vivant
43.5360708378	5.39857444582	13001	Cinéma	4	vivant
43.5360708378	5.39857444582	13001	Conservatoire	1	vivant
43.5360708378	5.39857444582	13001	Espace protégé	2	patrimoine
43.5360708378	5.39857444582	13001	Librairie	3	vivant
43.5360708378	5.39857444582	13001	Lieu archéologique	2	patrimoine
43.5360708378	5.39857444582	13001	Lieu de mémoire	1	patrimoine
43.5360708378	5.39857444582	13001	Monument	167	patrimoine
43.5360708378	5.39857444582	13001	Musée	9	vivant
43.5360708378	5.39857444582	13001	Parc et jardin	1	patrimoine
43.5360708378	5.39857444582	13001	Scène	1	vivant
43.5360708378	5.39857444582	13001	Service d'archives	4	patrimoine
43.5360708378	5.39857444582	13001	Théâtre	3	vivant
43.3533145712	5.51134767187	13002	Bibliothèque	1	vivant
43.3533145712	5.51134767187	13002	Monument	4	patrimoine
43.3533145712	5.51134767187	13002	Service d'archives	1	patrimoine
43.7074197745	5.15105029207	13003	Bibliothèque	1	vivant
43.7074197745	5.15105029207	13003	Monument	3	patrimoine
43.5468692378	4.66215642574	13004	Bibliothèque	1	vivant
43.5468692378	4.66215642574	13004	Cinéma	2	vivant
43.5468692378	4.66215642574	13004	Conservatoire	1	vivant
43.5468692378	4.66215642574	13004	Espace protégé	2	patrimoine
43.5468692378	4.66215642574	13004	Librairie	2	vivant
43.5468692378	4.66215642574	13004	Lieu archéologique	3	patrimoine
43.5468692378	4.66215642574	13004	Monument	104	patrimoine
43.5468692378	4.66215642574	13004	Musée	4	vivant
43.5468692378	4.66215642574	13004	Scène	1	vivant
43.5468692378	4.66215642574	13004	Service d'archives	1	patrimoine
43.5468692378	4.66215642574	13004	Établissement d'enseignement supérieur	1	Strange
43.2934843764	5.56331273477	13005	Bibliothèque	1	vivant
43.2934843764	5.56331273477	13005	Cinéma	2	vivant
43.2934843764	5.56331273477	13005	Conservatoire	1	vivant
43.2934843764	5.56331273477	13005	Monument	5	patrimoine
43.2934843764	5.56331273477	13005	Musée	1	vivant
43.2934843764	5.56331273477	13005	Service d'archives	1	patrimoine
43.2934843764	5.56331273477	13005	Théâtre	1	vivant
43.7000726884	4.94496642243	13006	Bibliothèque	1	vivant
43.7000726884	4.94496642243	13006	Monument	2	patrimoine
43.3607946934	5.6583901873	13007	Bibliothèque	1	vivant
43.6715125585	5.14903600713	13008	Bibliothèque	1	vivant
43.6183855123	5.21385052651	13009	Bibliothèque	1	vivant
43.6183855123	5.21385052651	13009	Monument	2	patrimoine
43.894724982	4.74934042876	13010	Bibliothèque	1	vivant
43.894724982	4.74934042876	13010	Monument	4	patrimoine
43.745808725	4.80218162499	13011	Espace protégé	1	patrimoine
43.745808725	4.80218162499	13011	Lieu archéologique	1	patrimoine
43.745808725	4.80218162499	13011	Monument	22	patrimoine
43.745808725	4.80218162499	13011	Musée	2	vivant
43.5220542383	5.545935902	13012	Établissement d'enseignement supérieur	2	Strange
43.4220302139	5.58376148513	13013	Bibliothèque	1	vivant
